2010-07-21 16:51:38 Notice: Notice (8): Use of undefined constant Router - assumed 'Router' in [/Users/jmashburn/Documents/Projects/Lance/app/config/routes.php, line 34]
2010-07-21 16:54:48 Notice: Notice (8): Undefined variable: pluginsRoutes in [/Users/jmashburn/Documents/Projects/Lance/app/config/routes.php, line 15]
2010-07-21 16:56:36 Notice: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/libs/debugger.php, line 684]
2010-07-21 16:56:36 Notice: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/libs/debugger.php, line 688]
2010-07-21 16:56:36 Notice: Notice (8): Undefined property: SessionComponent::$enabled in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/libs/controller/component.php, line 142]
2010-07-21 16:57:04 Notice: Notice (8): Undefined property: SessionComponent::$enabled in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/libs/controller/component.php, line 142]
2010-07-21 16:57:28 Notice: Notice (8): Undefined property: SessionComponent::$enabled in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/libs/controller/component.php, line 142]
2010-07-21 16:58:13 Notice: Notice (8): Undefined property: SessionComponent::$enabled in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/libs/controller/component.php, line 142]
2010-07-21 17:00:30 Notice: Notice (8): Undefined property: SessionComponent::$enabled in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/libs/controller/component.php, line 142]
2010-07-21 17:00:51 Notice: Notice (8): Undefined property: SessionComponent::$enabled in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/libs/controller/component.php, line 142]
2010-07-21 17:02:00 Notice: Notice (8): Undefined property: SessionComponent::$enabled in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/libs/controller/component.php, line 142]
2010-07-21 17:09:29 Notice: Notice (8): Undefined property: SessionComponent::$enabled in [/Users/jmashburn/Documents/Projects/Lance/cakephp/cake/libs/controller/component.php, line 142]
2010-07-21 17:32:43 Notice: Notice (8): Undefined variable: layout in [/Users/jmashburn/Documents/Projects/Lance/app/plugins/install/views/layouts/install.ctp, line 9]
2010-07-21 18:19:30 Notice: Notice (8): Undefined property: InstallController::$session in [/Users/jmashburn/Documents/Projects/Lance/app/plugins/install/controllers/install_controller.php, line 47]
2010-07-21 18:19:52 Notice: Notice (8): Undefined property: InstallController::$session in [/Users/jmashburn/Documents/Projects/Lance/app/plugins/install/controllers/install_controller.php, line 47]
2010-07-21 18:25:11 Notice: Notice (8): Undefined variable: content in [/Users/jmashburn/Documents/Projects/Lance/app/plugins/install/controllers/install_controller.php, line 63]
2010-07-22 11:01:32 Notice: Notice (8): Undefined variable: title_for_layout in [/Users/jmashburn/Documents/Projects/Lance/app/plugins/install/views/wizard/finish.ctp, line 2]
2010-07-22 13:53:17 Notice: Notice (8): Undefined variable: Hook in [/Users/jmashburn/Documents/Projects/Lance/app/config/bootstrap.php, line 58]
2010-07-22 13:53:17 Notice: Notice (8): Undefined variable: hookConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/config/bootstrap.php, line 64]
2010-07-22 13:54:07 Notice: Notice (8): Undefined variable: Hook in [/Users/jmashburn/Documents/Projects/Lance/app/config/bootstrap.php, line 58]
2010-07-22 13:54:07 Notice: Notice (8): Undefined variable: hookConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/config/bootstrap.php, line 64]
2010-07-22 13:54:23 Notice: Notice (8): Undefined variable: Hook in [/Users/jmashburn/Documents/Projects/Lance/app/config/bootstrap.php, line 58]
2010-07-22 13:54:23 Notice: Notice (8): Undefined variable: hookConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/config/bootstrap.php, line 64]
2010-07-22 13:54:25 Notice: Notice (8): Undefined variable: Hook in [/Users/jmashburn/Documents/Projects/Lance/app/config/bootstrap.php, line 58]
2010-07-22 13:54:25 Notice: Notice (8): Undefined variable: hookConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/config/bootstrap.php, line 64]
2010-07-22 13:54:43 Notice: Notice (8): Undefined variable: hookConfigurations in [/Users/jmashburn/Documents/Projects/Lance/app/config/bootstrap.php, line 64]
